ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address,Latitude,Longtitude,Metro Proximity
5900595,https://bina.az/items/5900595,120.0,Şüvəlan q.,4.0,,,True,147500,AZN,Şüvəlan qəsəbəsi,40.4867414,50.1839699,False
5698990,https://bina.az/items/5698990,160.0,Şüvəlan q.,4.0,,,True,260000,AZN,Şüvəlan qəs.,40.4867414,50.1839699,False
5536431,https://bina.az/items/5536431,150.0,Şüvəlan q.,4.0,,,True,255000,AZN,Şüvəlan qəs.,40.4867414,50.1839699,False
5467996,https://bina.az/items/5467996,6.0,Şüvəlan q.,,,,,165000,AZN,Şüvəlan qəsəbəsi,40.4867414,50.1839699,False
5363115,https://bina.az/items/5363115,200.0,Şüvəlan q.,5.0,,,True,450000,AZN,Şüvəlan qəsəbəsi,40.4867414,50.1839699,False
2865502,https://bina.az/items/2865502,70.0,28 May m.,3.0,3.0,5.0,True,255000,AZN,Üzeyir Hacıbəyov 50,40.5701349,49.6890244,False
5803606,https://bina.az/items/5803606,108.6,8 Noyabr m.,2.0,3.0,14.0,,232000,AZN,Əbdülvahab Salamzadə küç.,40.3531467,49.9582481,False
5639805,https://bina.az/items/5639805,160.0,Şüvəlan q.,4.0,,,True,268000,AZN,Şüvəlan qəs.,40.4867414,50.1839699,False
5703200,https://bina.az/items/5703200,155.0,Mərdəkan q.,4.0,,,True,279000,AZN,Mərdəkan qəsəbəsi,40.4935881,50.1495477,False
5952326,https://bina.az/items/5952326,120.0,Xətai r.,5.0,2.0,9.0,True,210000,AZN,General Əliağa Şıxlinski küçəsi,40.356503,49.9672049,False
5711819,https://bina.az/items/5711819,140.0,Şüvəlan q.,4.0,,,True,198000,AZN,Şüvəlan qəs.,40.4867414,50.1839699,False
5851780,https://bina.az/items/5851780,105.0,28 May m.,3.0,10.0,14.0,True,303000,AZN,Təbriz küçəsi,40.3894173,49.8538405,True
5636990,https://bina.az/items/5636990,160.0,Şüvəlan q.,4.0,,,True,245000,AZN,Şüvəlan qəs.,40.4867414,50.1839699,False
5765681,https://bina.az/items/5765681,158.0,Elmlər Akademiyası m.,3.0,8.0,12.0,,420000,AZN,Məhəmməd Hüseyn Şəhriyar küçəsi,39.8076377,46.7642062,False
5952323,https://bina.az/items/5952323,40.0,Hövsan q.,1.0,7.0,7.0,True,91000,AZN,Hövsan qəsəbəsi,40.3734647,50.0958512,False
5924739,https://bina.az/items/5924739,220.0,Gənclik m.,4.0,8.0,20.0,True,555000,AZN,Ceyhunbəy Hacıbəyli küçəsi,40.3841855,49.8490434,True
5018761,https://bina.az/items/5018761,158.0,Şıxov q.,3.0,3.0,6.0,True,310000,AZN,Шихов Гранд Парк,40.3116933,49.7935966,False
5952322,https://bina.az/items/5952322,240.0,Sahil m.,6.0,3.0,4.0,True,900000,AZN,Üzeyir Hacıbəyov küçəsi,38.7526075,48.8413439,False
5814383,https://bina.az/items/5814383,198.0,28 May m.,4.0,7.0,16.0,True,650000,AZN,Rəşid Behbudov küçəsi,40.3818798,49.8432082,True
5925944,https://bina.az/items/5925944,55.0,Massiv D q.,2.0,5.0,9.0,True,129000,AZN,"Yeni Günəşli qəs., massiv D, bina 17.",,,"(None, None)"
5947518,https://bina.az/items/5947518,102.0,Nizami m.,3.0,6.0,10.0,,385000,AZN,Fuad İbrahimbəyov küçəsi,39.9208289,48.7510156,False
5929633,https://bina.az/items/5929633,6.0,Masazır q.,,,,,96000,AZN,Masazır qəs.,40.471873,49.7552234,False
5952318,https://bina.az/items/5952318,1000.0,Xalqlar Dostluğu m.,,,,True,900000,AZN,Naxçivanski küçəsi,41.6259411,46.6287383,False
5414028,https://bina.az/items/5414028,65.1,Şah İsmayıl Xətai m.,2.0,20.0,20.0,True,320000,AZN,Nəcəfqulu Rəfiyev 25,40.3852369,49.8761437,True
5925770,https://bina.az/items/5925770,170.0,28 May m.,4.0,11.0,18.0,True,479000,AZN,Süleyman Rüstəm küç.,40.3887084,49.8417803,True
5923905,https://bina.az/items/5923905,85.0,Hövsan q.,3.0,2.0,10.0,True,146000,AZN,Hövsan qəs.,40.3734647,50.0958512,False
5718707,https://bina.az/items/5718707,4.0,Novxanı q.,,,,,109000,AZN,T.Hüseynli küçəsi,40.5326906,49.7823494,False
5908771,https://bina.az/items/5908771,100.0,Nəriman Nərimanov m.,3.0,13.0,17.0,True,368000,AZN,Əliyar Əliyev küçəsi,40.4035044,49.8778512,True
5952316,https://bina.az/items/5952316,106.0,8 Noyabr m.,3.0,10.0,27.0,True,400000,AZN,Şəfayət Mehdiyev küçəsi,40.3531467,49.9582481,False
5952317,https://bina.az/items/5952317,148.0,8 Noyabr m.,3.0,6.0,27.0,,390000,AZN,Tbilisi pr.,40.3940234,49.82016,True
5901574,https://bina.az/items/5901574,12.0,Mərdəkan q.,,,,,396000,AZN,Mərdəkan qəs,40.4935881,50.1495477,False
5952315,https://bina.az/items/5952315,6.0,Bilgəh q.,,,,,150000,AZN,Bilgəh qəsəbəsi,40.5741603,50.0409276,False
5791092,https://bina.az/items/5791092,174.0,Nərimanov r.,4.0,4.0,18.0,,485000,AZN,Tələt Şixaliyev küçəsi,39.9721704,48.3769413,False
5952314,https://bina.az/items/5952314,100.0,Nəsimi m.,4.0,3.0,9.0,True,250000,AZN,Həmzə Babaşov küçəsi,40.4286787,49.8233924,True
