ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address
5952557,https://bina.az/items/5952557,40.0,Qara Qarayev m.,2.0,4.0,5.0,True,132000,AZN,Qara Qarayev prospekti
5789058,https://bina.az/items/5789058,183.0,Nizami m.,4.0,17.0,18.0,True,590000,AZN,Sübhi Salayev küç.
5901212,https://bina.az/items/5901212,3.0,Novxanı q.,,,,,45000,AZN,Novxanı qəsəbəsi
5935003,https://bina.az/items/5935003,75.0,Neftçilər m.,2.0,14.0,16.0,True,207000,AZN,Məhsəti Gəncəvi küçəsi
5865800,https://bina.az/items/5865800,133.0,Həzi Aslanov q.,3.0,2.0,17.0,,287000,AZN,Cavanşir küçəsi
5493126,https://bina.az/items/5493126,4.2,Badamdar q.,,,,,273000,AZN,Badamdar şossesi
5952554,https://bina.az/items/5952554,135.0,Əhmədli m.,3.0,10.0,13.0,True,300000,AZN,Məhəmməd Hadi küçəsi
5935652,https://bina.az/items/5935652,95.0,Nəriman Nərimanov m.,2.0,4.0,5.0,True,250000,AZN,Ağa Neymətulla küç.
5768893,https://bina.az/items/5768893,5000.0,Mehdiabad q.,,,,,3000000,AZN,Mehdiabad qəsəbəsi
5799867,https://bina.az/items/5799867,71.0,Neftçilər m.,2.0,12.0,19.0,True,182000,AZN,Elşən Süleymanov küçəsi
5902146,https://bina.az/items/5902146,280.0,Novxanı q.,5.0,,,True,230000,AZN,Novxanı qəsəbəsi
5537455,https://bina.az/items/5537455,140.0,Gənclik m.,3.0,12.0,17.0,True,560000,AZN,Balaəmi Dadaşov küçəsi
5899934,https://bina.az/items/5899934,110.0,Əhmədli m.,5.0,5.0,9.0,True,220000,AZN,Lütfi Zadə küç.
5669469,https://bina.az/items/5669469,25.0,Şüvəlan q.,,,,,500000,AZN,Şüvəlan qəsəbəsi
5897072,https://bina.az/items/5897072,190.0,Nərimanov r.,3.0,5.0,18.0,True,480000,AZN,Həsən Əliyev küç.
5795737,https://bina.az/items/5795737,1600.0,Badamdar q.,,,,True,2850000,AZN,Badamdar qəsəbəsi
5923665,https://bina.az/items/5923665,147.0,Koroğlu m.,3.0,14.0,17.0,,366000,AZN,Heydər Əliyev pr
5948162,https://bina.az/items/5948162,1010.0,Binə q.,5.0,,,,175000,AZN,Əli İsazadə küçəsi
5790170,https://bina.az/items/5790170,11.0,Şüvəlan q.,,,,,418000,AZN,Şüvəlan qəsəbəsi
5602069,https://bina.az/items/5602069,5.5,Buzovna q.,,,,,145000,AZN,"Buzovna qəs., 24-cü küçə, giriş 1."
5704624,https://bina.az/items/5704624,140.0,Nəriman Nərimanov m.,3.0,9.0,16.0,True,550000,AZN,Təbriz küçəsi
5952551,https://bina.az/items/5952551,40.0,Neftçilər m.,2.0,4.0,5.0,True,132000,AZN,Qara Qarayev pr.
5920359,https://bina.az/items/5920359,300.0,Görədil q.,5.0,,,True,395000,AZN,Görədil qəsəbəsi
5952550,https://bina.az/items/5952550,65.0,Nəsimi r.,2.0,15.0,18.0,,242500,AZN,Səməd Vurğun küç.
5952549,https://bina.az/items/5952549,105.0,Həzi Aslanov m.,3.0,12.0,15.0,,218000,AZN,Nəsrəddin Tusi küçəsi
5847542,https://bina.az/items/5847542,77.0,Həzi Aslanov m.,3.0,9.0,20.0,True,220000,AZN,Gəncə pr
5934635,https://bina.az/items/5934635,86.0,Xətai r.,2.0,15.0,17.0,True,194000,AZN,Əliağa Şıxlinski küç.
5952547,https://bina.az/items/5952547,220.0,Elmlər Akademiyası m.,4.0,9.0,20.0,,1000000,AZN,Mətbuat pr.
5935480,https://bina.az/items/5935480,110.0,Qara Qarayev m.,4.0,6.0,16.0,True,300000,AZN,Tofiq Abbasov küçəsi
5952545,https://bina.az/items/5952545,136.0,20 Yanvar m.,3.0,6.0,18.0,True,280000,AZN,Asif Məhərrəmov küç.
4920110,https://bina.az/items/4920110,300.0,Saray q.,6.0,,,True,230000,AZN,H.Əliyev küç
5860929,https://bina.az/items/5860929,110.0,Novxanı q.,3.0,,,True,150000,AZN,Novxanı qəsəbəsi
